,SAMPLE ID,IGSN,SOURCE,DOI,TITLE,JOURNAL,AUTHOR,EXPEDITION ID,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SIO2,TIO2,AL2O3,CR2O3,FE2O3,FE2O3T,FEO,FEOT,NIO,MNO,MGO,CAO,SRO,NA2O,K2O,P2O5,BAO,LOI,H2O,H2O_M,H2O_P,SO2,SO3,MN,NI,CO,CU,CD,ZN,AS,AG,S,CA,HE,HE4,HE3_HE4,HE3_HE4_R_RA,AR36,AR40,AR40_RG,AR38_AR36,AR40_AR36,NE,NE20,NE22,NE20_NE22,NE21_NE22,KR78,KR80,KR82,KR83,KR84,KR86,XE,XE124,XE126,XE128,XE129,XE130,XE131,XE132,XE134,XE136,XE129_XE132,XE131_XE132,XE134_XE132,XE136_XE132,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,AG,AS,B,BA,BE,BI,BR,C,CA,CD,CO,CR,CS,CU,GA,GER,HF,HG,INDIUM,IR,K,LI,MN,MO,NB,NI,OS,P,PB,PD,PT,RB,RE,RH,RU,S,SB,SC,SE,SN,SR,TA,TE,TH,TI,TL,U,V,W,Y,ZN,ZR,ZR2O3,TI,AS,AS,GER,H2O_M,H2O_P,H2O_M,H2O_P,INDIUM
1,DIS1960-4519-056,,EARTHCHEMDB,10.1016/0016-7037(69)90014-3,MASS SPECTROGRAPHIC DETERMINATION OF LANTHANIDE ELEMENT CONTENTS IN BASALTS,GEOCHIM COSMOCHIM ACTA,"GRAHAM, A L; NICHOLLS, G D",DIS1960,45.73,-27.72,0.01,-3370,-3370,,,,SSMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,7.9,1.5,5,0.65,0.29,0.72,0.13,0.94,0.22,0.47,0.082,0.31,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DIS1963-5111-007,,EARTHCHEMDB,10.1016/0012-821X(73)90060-5,"K, RB, SR AND 87SR/86SR IN ROCKS FROM MID-INDIAN OCEAN RIDGE",EARTH PLANET SCI LETT,"SUBBARAO, K V; HEDGE, C E",DIS1963,5.45,61.8,0.01,,,,,,MS-ID,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146,,,,,,,,,,,0.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DIS1960-4519-065,,EARTHCHEMDB,10.1016/0016-7037(69)90014-3,MASS SPECTROGRAPHIC DETERMINATION OF LANTHANIDE ELEMENT CONTENTS IN BASALTS,GEOCHIM COSMOCHIM ACTA,"GRAHAM, A L; NICHOLLS, G D",DIS1960,45.73,-27.72,0.01,-3370,-3370,,,,SSMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,6.5,0.78,2.5,0.67,0.24,0.93,0.15,0.88,0.28,0.8,0.14,0.54,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DODSIE-CP-203,,EARTHCHEMDB,10.1093/petrology/27.6.1277,"LOWER CRUSTAL XENOLITHS, CHINESE PEAK LAVA FLOW, CENTRAL SIERRA NEVADA",J PETROL,"DODGE, F C W; CALK, L C; KISTLER, R W",nr,37.21,-119.15,0.01,2654.5,2654.5,,,,MS-ID,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,TRACHYBASALT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,678.7,,,,,,,,,,,,,,,,,,,,,
5,DODSIE-CP-203,,EARTHCHEMDB,10.1093/petrology/27.6.1277,"LOWER CRUSTAL XENOLITHS, CHINESE PEAK LAVA FLOW, CENTRAL SIERRA NEVADA",J PETROL,"DODGE, F C W; CALK, L C; KISTLER, R W",nr,37.21,-119.15,0.01,2654.5,2654.5,,,,Unknown,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,TRACHYBASALT,,,,,,,,,,,,,,,,,,,,,0.18,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.4,0.18,0.4,
6,DODSIE-CP-203,,EARTHCHEMDB,10.1093/petrology/27.6.1277,"LOWER CRUSTAL XENOLITHS, CHINESE PEAK LAVA FLOW, CENTRAL SIERRA NEVADA",J PETROL,"DODGE, F C W; CALK, L C; KISTLER, R W",nr,37.21,-119.15,0.01,2654.5,2654.5,,,,XRF,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,TRACHYBASALT,,53.3,1.29,13.2,0.06,,,1.79,,0.02,0.15,7.77,7.98,0.08,2.82,2.39,0.43,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,
7,DODSIE-CP-204,,EARTHCHEMDB,10.1093/petrology/27.6.1277,"LOWER CRUSTAL XENOLITHS, CHINESE PEAK LAVA FLOW, CENTRAL SIERRA NEVADA",J PETROL,"DODGE, F C W; CALK, L C; KISTLER, R W",nr,37.21,-119.15,0.01,2654.5,2654.5,,,,CALC,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,TRACHYBASALT,,,,,,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DODSIE-CP-203,,EARTHCHEMDB,10.1093/petrology/27.6.1277,"LOWER CRUSTAL XENOLITHS, CHINESE PEAK LAVA FLOW, CENTRAL SIERRA NEVADA",J PETROL,"DODGE, F C W; CALK, L C; KISTLER, R W",nr,37.21,-119.15,0.01,2654.5,2654.5,,,,CALC,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,TRACHYBASALT,,,,,,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DODSIE-CP-204,,EARTHCHEMDB,10.1093/petrology/27.6.1277,"LOWER CRUSTAL XENOLITHS, CHINESE PEAK LAVA FLOW, CENTRAL SIERRA NEVADA",J PETROL,"DODGE, F C W; CALK, L C; KISTLER, R W",nr,37.21,-119.15,0.01,2654.5,2654.5,,,,MS-ID,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,TRACHYBASALT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,634.8,,,,,,,,,,,,,,,,,,,,,
10,DODSIE-CP-204,,EARTHCHEMDB,10.1093/petrology/27.6.1277,"LOWER CRUSTAL XENOLITHS, CHINESE PEAK LAVA FLOW, CENTRAL SIERRA NEVADA",J PETROL,"DODGE, F C W; CALK, L C; KISTLER, R W",nr,37.21,-119.15,0.01,2654.5,2654.5,,,,Unknown,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,TRACHYBASALT,,,,,,,,,,,,,,,,,,,,,1.97,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1,1.97,1,
