,SAMPLE ID,IGSN,SOURCE,DOI,TITLE,JOURNAL,AUTHOR,EXPEDITION ID,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SIO2,TIO2,AL2O3,FE2O3T,MNO,MGO,CAO,NA2O,K2O,P2O5,LOI,NI,ZN,SR87_SR86,ND143_ND144,E_ND,PB206_PB204,PB207_PB204,PB208_PB204,HF176_HF177,E_HF,AR40_RG,AR38_AR36,AR40_AR36,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,BA,CR,CS,GA,HF,NB,NI,PB,RB,SC,SR,TA,TH,U,V,Y,ZN,ZR,DELTA_MG25,DELTA_MG26
1,PETDB-3211-R684-8.95,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.7408,-155.05,0.0001,,,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,21,56.9,7.47,30.9,7.05,2.36,6.45,0.96,5.13,0.96,2.34,0.33,1.94,0.26,264,,,,4.84,24.8,,,16.4,,474,1.53,1.74,0.64,,25.8,,188,,
2,PETDB-3211-R686-5.10,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.7408,-155.05,0.0001,,,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,49.8,6.51,27,6.22,2.12,5.74,0.86,4.68,0.87,2.16,0.3,1.77,0.24,235,,,,4.27,22.4,,,14.1,,541,1.36,1.6,0.59,,23.7,,167,,
3,PETDB-3211-R699-5.60,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.7408,-155.05,0.0001,,,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,48,6.29,26.2,6.13,2.13,5.75,0.86,4.69,0.87,2.18,0.3,1.82,0.24,225,,,,4.12,22.4,,,13.8,,488,1.33,1.51,0.58,,24.3,,165,,
4,PETDB-3211-R700-1.40,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.7408,-155.05,0.0001,,,,,,LA-ICPMS,GLASS,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,39.1,5.51,24,5.89,2,5.83,0.89,4.86,0.91,2.28,0.31,1.86,0.25,184,,,,4.14,18.2,,,10.8,,451,1.18,1.4,0.47,,24.5,,155,,
5,PETDB-3211-R016-5.2-6.0,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,12,30.6,4.5,21.1,5.7,1.95,6,0.97,5.6,1.08,2.69,0.389,2.2,0.313,115,,,,4.1,14.6,,0.91,6.5,31,313,1.02,0.96,0.32,,30,,160,,
6,PETDB-3211-R030-4.25-5.2,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,29.9,4.4,20.9,5.6,1.92,5.9,0.96,5.5,1.06,2.68,0.387,2.17,0.31,107,,,,4.03,14.3,,0.86,6.5,32,307,0.97,0.95,0.32,,29.6,,158,,
7,PETDB-3211-R051-2.4-3.6,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,30.8,4.5,21.3,5.6,1.94,6.1,0.99,5.6,1.08,2.74,0.398,2.24,0.316,117,,,,4.1,14.7,,0.86,8.1,32,314,1.04,0.97,0.36,,30.1,,161,,
8,PETDB-3211-R056-1.0-1.5,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,30,4.4,21,5.6,1.9,5.9,0.97,5.5,1.06,2.67,0.396,2.2,0.316,96,,,,4.1,14.4,,0.91,6.3,32,307,1.04,0.97,0.32,,29.5,,158,,
9,PETDB-3211-R057-5.0-5.9,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,29.2,4.3,20.4,5.5,1.84,5.8,0.94,5.4,1.02,2.58,0.382,2.13,0.301,99,,,,3.95,13.8,,0.86,6.1,28,294,1.01,0.93,0.31,,28.2,,152,,
10,PETDB-3211-R060-7.6-8.4,,EARTHCHEMDB,10.1029/2011gc003812,"COMPOSITIONAL DIVERSITY OF MAUNA KEA SHIELD LAVAS RECOVERED BY THE HAWAII SCIENTIFIC DRILLING PROJECT: INFERENCES ON SOURCE LITHOLOGY, MAGMA SUPPLY, AND THE ROLE OF MULTIPLE VOLCANOES",GEOCHEM GEOPHYS GEOSYST,"RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G",nr,19.51,-155.5,0.0001,,,,,,ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,29.6,4.4,20.8,5.6,1.88,5.9,0.95,5.4,1.04,2.67,0.396,2.18,0.306,133,,,,4.01,13.7,,1.03,5.2,28,299,0.99,0.95,0.31,,28.1,,151,,
